title,description,publishedAt,source,sentiment
"Kershaw becomes 20th member of 3,000-K club - ESPN","The Dodgers' Clayton Kershaw became the fifth pitcher in MLB history to reach 3,000 strikeouts with one franchise, pulling the feat Wednesday night against the White Sox.",2025-07-03T03:54:00Z,ESPN,0.0
"Racketeering was a ‘stretch’ in Sean ‘Diddy’ Combs trial, legal experts say - The Washington Post",A federal court jury in the Sean “Diddy” Combs case rejected the government’s theory that he ran a criminal enterprise that helped him carry out serious crimes.,2025-07-03T02:34:58Z,The Washington Post,-0.17777777777777778
Your Roku has secret menus and screens - here's how to unlock them - ZDNET,Pressing a specific button sequence on your Roku remote can open up a hidden world of features you likely never knew existed.,2025-07-03T02:00:00Z,ZDNet,-0.1111111111111111
"Kershaw becomes 20th member of 3,000-K club - ESPN","The Dodgers' Clayton Kershaw became the fifth pitcher in MLB history to reach 3,000 strikeouts with one franchise, pulling the feat Wednesday night against the White Sox.",2025-07-03T03:54:00Z,ESPN,0.0
"Racketeering was a ‘stretch’ in Sean ‘Diddy’ Combs trial, legal experts say - The Washington Post",A federal court jury in the Sean “Diddy” Combs case rejected the government’s theory that he ran a criminal enterprise that helped him carry out serious crimes.,2025-07-03T02:34:58Z,The Washington Post,-0.17777777777777778
Your Roku has secret menus and screens - here's how to unlock them - ZDNET,Pressing a specific button sequence on your Roku remote can open up a hidden world of features you likely never knew existed.,2025-07-03T02:00:00Z,ZDNet,-0.1111111111111111
"Kershaw becomes 20th member of 3,000-K club - ESPN","The Dodgers' Clayton Kershaw became the fifth pitcher in MLB history to reach 3,000 strikeouts with one franchise, pulling the feat Wednesday night against the White Sox.",2025-07-03T03:54:00Z,ESPN,0.0
"Racketeering was a ‘stretch’ in Sean ‘Diddy’ Combs trial, legal experts say - The Washington Post",A federal court jury in the Sean “Diddy” Combs case rejected the government’s theory that he ran a criminal enterprise that helped him carry out serious crimes.,2025-07-03T02:34:58Z,The Washington Post,-0.17777777777777778
Your Roku has secret menus and screens - here's how to unlock them - ZDNET,Pressing a specific button sequence on your Roku remote can open up a hidden world of features you likely never knew existed.,2025-07-03T02:00:00Z,ZDNet,-0.1111111111111111
"Kershaw becomes 20th member of 3,000-K club - ESPN","The Dodgers' Clayton Kershaw became the fifth pitcher in MLB history to reach 3,000 strikeouts with one franchise, pulling the feat Wednesday night against the White Sox.",2025-07-03T03:54:00Z,ESPN,0.0
"Racketeering was a ‘stretch’ in Sean ‘Diddy’ Combs trial, legal experts say - The Washington Post",A federal court jury in the Sean “Diddy” Combs case rejected the government’s theory that he ran a criminal enterprise that helped him carry out serious crimes.,2025-07-03T02:34:58Z,The Washington Post,-0.17777777777777778
Your Roku has secret menus and screens - here's how to unlock them - ZDNET,Pressing a specific button sequence on your Roku remote can open up a hidden world of features you likely never knew existed.,2025-07-03T02:00:00Z,ZDNet,-0.1111111111111111
"Kershaw becomes 20th member of 3,000-K club - ESPN","The Dodgers' Clayton Kershaw became the fifth pitcher in MLB history to reach 3,000 strikeouts with one franchise, pulling the feat Wednesday night against the White Sox.",2025-07-03T03:54:00Z,ESPN,0.0
"Racketeering was a ‘stretch’ in Sean ‘Diddy’ Combs trial, legal experts say - The Washington Post",A federal court jury in the Sean “Diddy” Combs case rejected the government’s theory that he ran a criminal enterprise that helped him carry out serious crimes.,2025-07-03T02:34:58Z,The Washington Post,-0.17777777777777778
Your Roku has secret menus and screens - here's how to unlock them - ZDNET,Pressing a specific button sequence on your Roku remote can open up a hidden world of features you likely never knew existed.,2025-07-03T02:00:00Z,ZDNet,-0.1111111111111111
